,INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
43471,GER.02.F,FRA,2009,107.04967,,NAT_EST
43512,GER.02.F,MTQ,1991,83.90368,,UIS_EST
43522,GER.02.F,KHM,2014,17.62112,,
43598,GER.02.F,MEX,1985,50.07367,,
43628,GER.02.F,MDV,1995,68.36377,,
43786,GER.02.F,SAU,2008,10.98594,,UIS_EST
44030,GER.02.F,SLB,2000,35.30398,,
44146,GER.02.F,IDN,2003,26.49071,,NAT_EST
44202,GER.02.F,MYS,2009,79.99706,,
44314,GER.02.F,CYP,1997,60.17374,,NAT_EST
44343,GER.02.F,CUB,1980,55.14582,,
44411,GER.02.F,BRB,1978,35.60232,,
44540,GER.02.F,QAT,1994,22.05882,,
44643,GER.02.F,CRI,1997,83.5743,,
44657,GER.02.F,TCD,1995,0.20241,,
44667,GER.02.F,TON,1998,21.11233,,
45087,GER.02.F,AZE,1999,17.02426,,NAT_EST
45211,GER.02.F,JAM,1977,75.52302,,
45220,GER.02.F,JAM,1976,75.62715,,
45287,GER.02.F,PRT,1988,30.60942,,
45401,GER.02.F,CHN,2007,43.14146,,
45463,GER.02.F,LAO,1978,0.66742,,
45497,GER.02.F,TJK,2015,9.57907,,
45703,GER.02.F,URY,1993,41.33001,,
45902,GER.02.F,ABW,2005,99.78402,,
45938,GER.02.F,MAC,2015,88.89309,,
46040,GER.02.F,CAN,1981,55.92162,,
46100,GER.02.F,HUN,2015,79.84268,,
46138,GER.02.F,HUN,1998,78.60238,,
46155,GER.02.F,ALB,2003,49.97567,,
46524,GER.02.F,BFA,2011,3.10031,,
46529,GER.02.F,MNG,1981,25.46304,,
46605,GER.02.F,URY,2003,66.13355,,
46647,GER.02.F,BRB,2017,91.06163,,
46806,GER.02.F,EGY,1976,1.92411,,
47271,GER.02.F,LVA,2000,62.49275,,NAT_EST
47557,GER.02.F,LVA,2012,89.69908,,NAT_EST
47687,GER.02.F,CHE,2010,99.32053,,
47816,GER.02.F,GBR,2003,77.24046,,
47857,GER.02.F,CUB,1975,51.74782,,
47861,GER.02.F,BHR,2014,55.81908,,
47869,GER.02.F,IND,2007,6.88226,,
48317,GER.02.F,COG,1981,1.93407,,
48420,GER.02.F,STP,1971,2.44998,,
48490,GER.02.F,URY,2011,89.76457,,
49133,GER.02.F,DMA,1977,66.55356,,
49173,GER.02.F,MDA,2017,85.89526,,NAT_EST
49360,GER.02.F,ISR,2014,111.11293,,
49455,GER.02.F,ISR,2015,111.71717,,
49533,GER.02.F,GRD,2002,83.64389,,
49550,GER.02.F,NIC,2005,41.57399,,
49642,GER.02.F,BTN,2005,1.35628,,
49728,GER.02.F,CHN,1990,20.06034,,
50042,GER.02.F,VGB,2000,75.47684,,
50136,GER.02.F,CZE,1996,90.57395,,
50344,GER.02.F,JOR,2014,26.26039,,
50348,GER.02.F,DEU,1997,90.33109,,
50393,GER.02.F,PNG,2002,56.35745,,
50472,GER.02.F,MAR,1996,39.64649,,
50475,GER.02.F,BFA,1975,0.0823,,
50641,GER.02.F,LAO,1988,7.24523,,
50738,GER.02.F,DJI,2007,2.75466,,
50913,GER.02.F,BEN,2011,19.5406,,
50984,GER.02.F,BRB,1981,40.5959,,
51357,GER.02.F,JOR,1992,19.45109,,
51612,GER.02.F,DOM,2014,48.95784,,NAT_EST
51706,GER.02.F,CUB,1977,65.20364,,
51801,GER.02.F,CHN,2010,52.29121,,
51952,GER.02.F,IRL,1977,107.63197,,
52017,GER.02.F,BHR,1994,31.64787,,
52185,GER.02.F,LAO,2007,12.52461,,
52230,GER.02.F,KAZ,2005,32.44659,,
52248,GER.02.F,CUB,1983,65.93995,,
52339,GER.02.F,SLB,1994,37.66538,,
52355,GER.02.F,IRN,2016,54.71597,,
52585,GER.02.F,MLT,1989,95.98062,,
52923,GER.02.F,MAC,2013,91.72673,,
53039,GER.02.F,TGO,1975,2.39421,,
53123,GER.02.F,MAC,1972,45.58824,,
53207,GER.02.F,AUS,1992,70.50768,,
53330,GER.02.F,MEX,1990,60.14873,,
53418,GER.02.F,BRA,2014,90.72814,,NAT_EST
53573,GER.02.F,BHR,2013,53.12286,,
53701,GER.02.F,GRC,1991,53.95294,,
53849,GER.02.F,MAR,1992,33.52272,,
53912,GER.02.F,ARE,1999,60.28268,,
54041,GER.02.F,ISL,2013,96.17414,,
54216,GER.02.F,BMU,1979,122.07506,,
54410,GER.02.F,QAT,1996,21.60145,,
54431,GER.02.F,FRA,1973,91.29528,,
54497,GER.02.F,MKD,2002,28.55901,,
54616,GER.02.F,TUR,1972,0.2605,,
54648,GER.02.F,RWA,2008,17.88784,,
54706,GER.02.F,SVN,1989,59.70318,,
54771,GER.02.F,URY,2014,92.98742,,
54906,GER.02.F,BEL,1988,104.94338,,
55045,GER.02.F,ETH,2012,16.75771,,
55292,GER.02.F,CHL,1985,78.24449,,
55376,GER.02.F,PNG,1991,0.24861,,
55383,GER.02.F,ITA,2004,102.21144,,
55498,GER.02.F,MKD,1998,25.33286,,
55518,GER.02.F,CAN,1991,61.10071,,
55547,GER.02.F,KEN,1999,40.66482,,
55733,GER.02.F,ARE,2016,81.65327,,
55865,GER.02.F,ASM,1981,66.49254,,
56063,GER.02.F,BFA,1982,0.08216,,
56116,GER.02.F,TKM,2014,57.05279,,
56177,GER.02.F,ECU,1975,10.35688,,
56239,GER.02.F,MOZ,1971,0.2165,,
56483,GER.02.F,TZA,2017,45.0747,,
56713,GER.02.F,HRV,1988,27.66195,,
56744,GER.02.F,TKL,1981,60,,
56826,GER.02.F,HUN,2000,78.86293,,
57107,GER.02.F,JOR,1988,16.24179,,
57117,GER.02.F,LVA,1993,27.52671,,
57191,GER.02.F,NIC,2008,56.86971,,
57287,GER.02.F,FIN,1998,45.56905,,
57296,GER.02.F,TTO,2000,60.44615,,UIS_EST
57489,GER.02.F,VAT,2011,0,,
57662,GER.02.F,IDN,1979,10.40692,,
57712,GER.02.F,GRC,2005,65.5017,,
57793,GER.02.F,ARE,2013,82.36396,,
57871,GER.02.F,HUN,2017,80.76096,,
57916,GER.02.F,CZE,1989,109.51163,,
57930,GER.02.F,CZE,2003,106.538,,
58014,GER.02.F,MSR,1997,80.30303,,
58205,GER.02.F,IND,1981,2.24183,,
58291,GER.02.F,THA,1991,44.95321,,
58384,GER.02.F,CHN,2011,58.90279,,
58411,GER.02.F,TGO,1977,2.03893,,
58440,GER.02.F,ALB,2012,79.0621,,
58543,GER.02.F,BDI,2012,8.50392,,
58552,GER.02.F,CIV,1983,0.77844,,
58579,GER.02.F,KNA,2007,111.0828,,
58715,GER.02.F,CYP,1986,34.32194,,
58879,GER.02.F,MAR,2017,49.08614,,
58921,GER.02.F,DJI,2001,0.65301,,
59093,GER.02.F,ESP,1985,64.73425,,
59301,GER.02.F,PHL,2005,37.98167,,
59381,GER.02.F,NOR,1997,78.06739,,
59612,GER.02.F,CHE,1983,82.03952,,
59620,GER.02.F,KWT,2003,75.48603,,
60084,GER.02.F,NLD,1993,98.34843,,
60151,GER.02.F,KAZ,1994,49.6198,,
60249,GER.02.F,BGR,1977,75.02503,,
60491,GER.02.F,CYP,1973,12.09879,,
60570,GER.02.F,NIU,1973,127.77778,,
